date,review,reviewer,rating
09-Feb-20,"Joaquin Phoenix is very good in this (as he is in most films) but the script/storytelling is sloppy, unoriginal and cliched. If you enjoyed Joaquin's performance then check out The Master, Her, or, You Were Never Really Here. All better films in my book, which showcase his talent and charisma.",Scott C,2
09-Feb-20,Doesn't live up to the hype just like the portrayed Joker doesn't live up to the level of a supervillain he deserves to be,Vlad M,3
09-Feb-20,"Joker was tense, engaging and amazingly performed by Joaquin Phoenix! He deserves the Best Actor Oscar for this film. This film was given the novella treatment and it sticks with you from beginning to end. You almost feel for the Joker and his fall to madness.",William B,5
09-Feb-20,"This was such a disappointment. It somehow messes up the best Batman villain in the comics while at the same time vilifying people with mental health issues. Also, it wants you to believe that it's like a prequel to Batman v Superman even though the theme of this film is NOTHING like Batman v Superman. It was hot garbage and the script and scenes reads like an edgelord listening to Marilyn Manson and scribbling out the ""forget to"" in a sign that says ""don't forget to smile"". At least the lead actor gives a good performance, even when given a trash script. The movie also made me laugh, unfortunately, it wasn't intended.",Logan C,0.5
09-Feb-20,"A breath of fresh air in the ocean of ""Mary Sue""s that Hollywood has become. An incredible depiction of the character that is the Joker by Hoaquin Phoenix that can only be shadowed by Heath Ledger's performance. A must see eye opener filled with connections to real-life problems that most critics completely (and probably deliberately) ignored. Not saying that if you hate the movie you hate disabled people.... but it succeeds in giving a never-before seen human side to the well-known character that millions all over the world adore.",Marko M,5
09-Feb-20,Phenomenal take on mental illness.,Austin S,5
09-Feb-20,"Wow the acting in this movie is outstanding, the soundtrack is beautiful/haunting at the same time and the cinematography is really well done. I can�t tell you enough how much I recommend seeing this movie, try going into it spoiler free, you won�t regret it!",,5
09-Feb-20,Great acting by Joaquin. Joker's attempted comedy career reminds me of Charles Manson's violent rise and fall in Hollywood.,,3.5
09-Feb-20,"While I do wish that they somehow included Batman into the movie in a larger way, I will say that this was a very good movie. Watching Arthur slowly dive into madness is just fascinating to watch",Dean T,4
09-Feb-20,"This movie portrait perfectly the descending to madness , how much society has control over us and how it can turn us into monster. Through out the movie I felt so many different emotion. I wasn't excepting to laugh and then immediately afterward to feel sadness. This was in my opinion one of the greatest movie of 2019. Joaquin did a incredible job to portrait the Joker.",Tino R,5
09-Feb-20,"0 stars! Worst most disturbing movie ever don�t waste your time awful!!!! And it�s not that hard to perfect a laugh he does not deserve the Oscar for this, shouldn�t have been made.",Jill g,0.5
09-Feb-20,"Oh boy, i need more.",Miguel G,5
09-Feb-20,"The fact that critics are so split on this movie I think tells it all. it's heavy, it's controversial, it forces you to <gulp> understand the origins of evil in our society. Personally, I think it's a story that needed to be told somehow. Why not through the greatest comic book villain of all time?",,5
09-Feb-20,"While Phoenix turns in a mesmerizing performance, it's hard to reconcile that craft with how the story paints mental illness as something to be despised",Aaron O,3.5
09-Feb-20,This movie was extremely poorly written but the high quality of Joaquin Phoenix's acting and the the directing made it an ok watch.,Mark H,2.5
09-Feb-20,"I don't understand the hype. I was excited at the prospect of a Joker movie, but this was a huge let down. Joaquin Phoenix is just awkward and his acting kept taking me out of the movie. More over the story was slow, inconsistent with the Joker character, and just boring. I want my money back.",Lucas T,0.5
09-Feb-20,"Joaquin Phoenix doesn't fill the boots left by Heath Ledger, he brings his own to tell the Joker's story. The Joker argues there's no such thing as good or bad, you just get what you deserve...",,4.5
09-Feb-20,"Dramatically anarchic. A script that illustrates the moral concepts of the master and the servant very well, according to Nietzsche's vision.",Orlando F,5
09-Feb-20,"Film of the year, absolutely Brilliant, Must see, huge social commentary on society today loved every single minute of this film, disappointing too see all the woke critics giving this groundbreaking film a such low score and other rubbish such high scores? Go figure?",William G,5
09-Feb-20,"Amazingly well executed, makes Joker feel very relatable.",Dylan V,5
09-Feb-20,Outstanding. The movie put the real life of a patient is mental health,,5
09-Feb-20,I liked seeing the more human aspect before the transformation. Phoenix was awesome in this role. I could have done without some of the gruesome scenes and I would have liked the movie ending in the street but all in all it kept me glued to see what would happen next. I�m glad they tied in the connection to Gotham and Batman.,strawbariblondy,4
09-Feb-20,Was not the Joker movie I was hoping for...I'm never going to see this movie again.,Deepanjana S,2.5
09-Feb-20,yea i though this was all hype you gotta see this how you cant trust critics scores,Kevin C,5
09-Feb-20,This is a horrible depiction of the Joker. The movie is shot well and the acting is superb. My issue is the how the Joker is depicted as a insane loser instead of the criminal mastermind from the comics. Definitely not worthy of an Oscar and I wouldn't waste my time if you are a comic fan.,Kerry R,0.5
09-Feb-20,"An exceptional way of showing how a community collapses when we stop caring for one another. When order doesn't prevent misery and no one steps in to provide a minimal amount of care, some will choose chaos no matter the cost. Joker would be no more than an excellent dramatic exercise of philosophy if it wasn't for the mass shootings of the past decades. There's something to learn from this film.",David W,5
09-Feb-20,What a perfect performance. Joaquin Phoenix is a genius. The best actor ever.,Donna L,5
09-Feb-20,Such a great take on mental illness. Gives you a different perspective.,Christina M,4.5
09-Feb-20,"""Joker"" is nothing short of a comic book master piece, Joaquin Phoenix along with Todd Philips superb direction has brought together a fantastic look into the mind of a very ill person that is delving deeper and deeper into madness with every passing day. The excellent acting of Joaquin Phoenix truly brings one of the comics oldest villains to an whole different level.",Christopher H,4
09-Feb-20,"The pacing is awful. Exceedingly slow. Phoenix is fine, no Ledger, but everything else is lackluster.",,0.5
09-Feb-20,"Simple, yet meaningful and somehow thrilling, the movie is pretty good and very touching with people who share, or once shared the same psychological and social difficulty with the titular character, which is a remarkable success. This work of well-received effort has succeeded on telling a complex yet regular story of an extraordinary individual representing a forgotten miserable minority of our society.",Nguyn Q,3.5
09-Feb-20,Waste of time. It was really boring,Henry M,1.5
09-Feb-20,"What a great movie, and an amazing performance by Joaquin Phoenix!",Lori S,5
08-Feb-20,"Great acting with superb story line showing The Jokers decent into madness. Watch this film, you won�t regret it.",,5
08-Feb-20,"The performance given by Phoenix was excellent, but the film was totally boring. It never for a moment brought me in. When I remember the myriad films I've seen over time, this one will stand as one enormous disappointment.",Karen F,0.5
08-Feb-20,Great performance by Joaquin Phoenix. Felt for the main character and his flaws.,Chris H,4
08-Feb-20,"Ever since I watched this recently it hasn't left my head. Joker is one of the best movies I have ever seen. It shows Arthur Fleck finding his true self as Joker through dance, comedy, and murder. The music was lovely, and the acting was brilliant. The cinematography was beautifully put together. Joaquin Phoenix was a great choice as Joker in this movie. When I watched this movie for the first time, I could feel the suspense building up more and more as I watched it. Joker is a realistic rendition of the original Joker character who originally fell into a pit of acid. Definitely my favorite movie of all time at the moment. I wonder what masterpiece I'll watch next? ""If I'm going to have a past, I prefer it to be multiple choice!"" - Joker ( The Killing Joke )",Chayse L,5
08-Feb-20,"I always admire a film with a strong moral theme or stark societal commentary. Without being ""preachy"", this film illustrates a raw example of the effects of society abandoning those with mental illness and does it with great story telling, cinematography, and character portrayal. A great film over-all.",Ryan T,4.5
08-Feb-20,"The art direction, soundtrack and lead performance were all stellar. But those alone could not compensate for what was ultimately a depressingly dull, one-note film. In my youth I may have found the message profound, but now it just seems silly and superficial.",Michael S,3
08-Feb-20,One of the best Jokers I have seen.,,4
08-Feb-20,Joaquin Phoenix's performance is the big thing in this film.,george x,3.5
08-Feb-20,"The hype on this film it was a problem for me because the movie is not bad at all, it is an interesting project and Joaquin Phoenix is ??superb but the script is a disaster, it lacks the sensitivity and subtlety of the work to which it intends to pay tribute, it is like a version for fools who stir on the same point in case someone has not understood what happen. The clown revolution is meaningless and the press of this fictional world is the most unlikely caricature, it knows what it wants to talk about but not how, making this social criticism empty in itself, concluding that he is a ""mental ill man"" who so he is very ""crazy"" and that is why he acts like this, because there is no change in the character, he is a man who continues to hallucinate and kill while still being medicated and who then continues to kill and hallucinate when he is not medicated (and yes i know he has a breaking point but after he kills the way he acts is so off he is medicated at this point) so all the part as criticizes the system health and budget cuts is in vain, the same goes for class criticism, when the only kind of violence that you know how to show from rich to poor is physical violence, without considering that those who initially hit you are social class low... you have a problem. But still it is an interesting proposal and removing those management problems the story itself is not bad, it's pretty good but It is not a masterpiece or even.",Karla M,3.5
08-Feb-20,Joaquin phoenix is a phenomenal method actor. He transforms himself into the joker so subtly you can hardly recognize him by the end of the film. Must see!!,art,5
08-Feb-20,"I have seen the Master and Walk the line along with HER. But this is a performance of a lifetime from Phoenix. I think the sountrack is oscar worthy along with the cinematography. I know oscars snubbed the Dark Knight but i hope and pray this time it would be different. The only competition is from ""1917"" which is also damn good. But Phoenix deserves a nod for this performance from Oscars.",Andy I,5
08-Feb-20,"The plot is far from perfect, and not every supporting character hits the mark. But in an insanely good performance by Phoenix,",Lionel M,5
08-Feb-20,"He reminded of Michael Jackson. And I found that sad. Otherwise, great movie. Heart-breaking.",Metasebia S,5
08-Feb-20,Great tense film that fun to watch. Joaquin Phoenix is definitely the best thing about this film.,Champ T,4.5
08-Feb-20,"With a good script and a Joaquin Phoenix stealing the movie Joker becomes a good movie, one of my favorites for this year, the only two things I didn't like were that they could have put more prominence on Thomas Wayne (Brett Cullen) and put but the police issue",Manuel R,4
08-Feb-20,"O filme tenta alavancar algo desnecess�rio e falso com um roteiro pregui�oso, que tenta ser maior e mais importante do que �. Um filme que, se feito com seriedade, se sairia melhor do que foi.",Lucas F,3
08-Feb-20,ICONIC BEST MOVIE EVER,Ayrton S,5
08-Feb-20,an outstanding masterpiece. Very very dark.,Dmitry F,5
08-Feb-20,"Really interesting film watching the main character spiral out of control with no support until he completely breaks and becomes the Joker. A lot more subtle characterization that previous movies. I think that's why this version becomes so visceral to people, for both the ones that like it and dislike it. It hits closer to home than most people admit.",Alex L,4
08-Feb-20,"Absolute ""Masterpiece"" must to watch .",ukasz R,5
08-Feb-20,one of the best movies i've seen in a long time,Aslam E,5
07-Feb-20,Phoenix is good in it. Trying to figure out when this movie takes place 90s?,Tiffany M,3.5
07-Feb-20,"Loved it. It was dark but very interesting and it shines some light on mental health and society. The acting was great and so was the cinematography. I'm no DC fanatic but to my understanding, it gives a good backstory to the Joker. Definitely would recommend.",Felix Y,5
07-Feb-20,"While the story remains simple, the actors elevate true social despair within their individual performances. A great depiction of an origin story and the hopeless position of those unable to treat their mental illness.",Ryan F,4
07-Feb-20,"This last decade has thrown many, many superhero and supervillain movies at us, and, to be frank, it's become super boring. But Joker is a breath of fresh air. This is an origin movie that is able to shake off its supervillain story trappings by presenting us with a recognisable world. Todd's dystopic Gotham, with it's litter-strewn streets and excessive rioting, might seem like a fictional world, but the way in which a vulnerable man is repeatedly let down by society around him feels uncomfortably familiar. I think this is actually a reasonably misunderstood movie - by critics, anyway. Some suggest that the film glorifies violence and asks that we sympathise too greatly with this murderer. Some opine that it's a celebration of the far right. But as Micah Uetricht rightly states in his review of the film, Joker is in fact a condemnation of austerity, and of leaving the most vulnerable in society without care. I ask myself if snobbery is in play here. Is the misguided scrutiny from critics down to the fact this is a supervillain film, or perhaps due to the fact it's directed by the same guy who directed the Hangover films and worked on the story for Borat? Maybe so. In spite of the polarizing politics, several micro elements certainly deserve commendation: the cinematography and the score are particularly outstanding. Hildur Gudnadottir's cello-centred score, which is deeply moody and dark (and Oscar-worthy), and Lawrence Sher's self-assured use of colour, combine to give the film a notable, chilling atmosphere. Joaquin's Joker is a sensation and he captures everything from maniac to fragile. It's a physical performance, twisting his posture and contorting his face into a range of disturbing and memorable expressions. It's a consciously histrionic performance. Critics may debate the film's merit, but I think this is a deceptively smart film. Joaquin Phoenix's rendition of Joker is absolutely one that people will be talking about for years to come.",Jordan W,4.5
07-Feb-20,I watched the movie after i seen so many good reviews about it. I was dissapointed. It was not as good at all. The movie has alot of talking and there is not much action. It was so boring that my wife fell asleep. The actors are good but the problem is the story itself and how it was made. Everything seems slow and heavy. I was hoping to see more action.,Eric B,2
07-Feb-20,"OK, so Joaquin can act, fulfill the potential of the writing, but who cares about the character or story?",Dan H,1.5
07-Feb-20,"This movie was my favorite of 2019. Joaquin Phoenix is INCREDIBLE! The acting, the script, the music, the costumes, the cinematography, etc., all come together so perfectly. All the award wins/nominations are proof of this!",T L,5
07-Feb-20,This was way too over hyped. Some great grisly imagery though.,William B,3
07-Feb-20,Really enjoyed the movie when I was watching with friends. I love how the movie shows Joker's dive into insanity and his psychological problems. Joaquin Phoenix did a perfect job playing the role of Joker,Evan K,4.5
07-Feb-20,"My expectation is pretty low after people told me it wasn't the type of bubblegum movies I like but while I was watching, I got really invested in the character and after about 45 minutes, I found myself enjoying it. The story is great but its a little dry and slow. Still worth checking out.",Brian W,3.5
07-Feb-20,It really is an origin story of a man forced into madness because of society. While it isn't as light as the previous joker persona's in media at times. It truly exceeds in making a fitting story that evolves after watching it multiple times. And now it's grounded violence is some of the most hardcore we've seen from a while from DC. Truly a spectacle for those that can handle it.,Jordan B,5
07-Feb-20,"To put it plainly, this feels like a masterpiece but it isn't really yet still it moves like one. To have a movie about a character in a comic book world portray a message so important in the real world and almost necessary makes this somewhat A- yet masterfully directed and acted movie a masterpiece. 10 out of 10 for me and I will dare again and call it a masterpiece. Its view may scar you but more so it will make you wonder how much possible it is.",Nestory A,5
07-Feb-20,"Joker is testament to the monumental need for funding mental health services. With his leaky clown flower and greasy locks, Joaquin Phoenix is painfully good as the dark villain in this effective prequel to the Batman franchise. I couldn't help but wonder if Arthur could have just recorded one of his many injustices for social media to judge, the outpouring of support could have stopped him from becoming The Joker.",Shaili B,3.5
07-Feb-20,"T'was good, these critics are hypocritical and got scared of a 'dangerous' movie that literally had none of the effects they thought it would. Clowns.",Leon G,5
07-Feb-20,"A prime example of how to make an artistic, mature movie with a culturally relevant message, transcending the tight boundaries of comic book mythology, and serving as a love letter to classic Hollywood cinema. A must watch, even if it may have some flaws, and a reminder why DCEU deserves to die, so pieces of art like Joker may live.",Olivia B,4
07-Feb-20,One of the best movies to see about loneliness.,Karvinen A,4
07-Feb-20,this was a waste of 2 hours,Mike M,0.5
07-Feb-20,The movie had so many errors. It was in the wrong time setting and just ridiculous. Worse joker ever.............,Laraina A,1
07-Feb-20,Touching. Incredible acting of Joaquin,Phan T,5
07-Feb-20,Probably the best movie of the year we'll made very dark and very real... Enjoyed it,Gareth T,5
07-Feb-20,"A great performance and some stylish choices, in a film that fails on every other level because it has no thesis.",Dan M,2.5
06-Feb-20,Phoenix�s performance was fine but I just did not like this movie and thought it could have been edited down quite a bit. SNL summarized perfectly.,,2
06-Feb-20,what a masterpiece and the attempts of the media wanting to make it a scare-fest didn't help and it never does. Do i agree this film makes joker sympathetic? Hel to the No!,,5
06-Feb-20,I was very taken back by this movie mainly because of Joaquin Phoenix's performance. I had never seen him in any other movie before so I didn't know what to expect from him. He hits a home run with this and props to Todd Phililps for stepping out of his comfort zone going from a hit comedy in The Hangover also highly recommended to this really sad drama story of a man who is very lonely and has mental illness along with some other issues. You feel for the Joker and have a clear understanding of how he becomes the Joker by the end. Incredible acting and story telling. I only wish we got more of Joaquin as the Joker.,Brandon B,5
06-Feb-20,"I think this a a truly great film, I loved it.",Tom R,4
06-Feb-20,Couldn't have been more disappointed with a movie. Phoenix's acting was good but the rest of the movie was just something to kill time.,Zachary L,2
06-Feb-20,Its a deep and very realistic depiction of a comic villain. Its perfect!,Fi,5
06-Feb-20,Great movie. I loved the focus on the character. No special effects needed to show his deteriorating state of mind. Great acting from Phoenix conveyed it all.,Julie T,5
06-Feb-20,so boring ew the worst movie,Luka,1
06-Feb-20,"I had heard from many people that this was a comic book movie for people that weren't fans of comic books. That irked me and was probably why I took so long to see it. I had also heard that it was harrowing and twisted, and while it is in a way, it was not an insufferable, punishing film, it was a great movie-going experience and a well made, unhurried, anti-studio film. Joker was a complete surprise, it's a true film of our time. Completely current and modern and on the pulse even with this retro flavour and backdrop of 70's exploitation inspired New York doubling for Gotham. As a fan of the comics, the bin strike, the rats, the trains, the divide between rich and poor, the look and feel of the film is a superb rendering of Gotham, better than every other and a far cry from the Heat-inspired Chicago-double in Nolan's films. On the subject of the city, I did see the film in a Dolby Atmos cinema, but the aural scape is truly rich and amazing, it should get an Oscar for its sound mix. And that's without commenting on the music, with reverent stings of The Dark Knight when appropriate, the whimsy is a unique kind, a dark twisted carnival of Fleck's mind. Hildur Gu�nad�ttir�'s score is the sound of the dissent, the sound of Joker's innards, it's not aggressive like Zimmer, it's sad and aching and lyrical as well as hideous. A friend had said before I watched it, that Joker was an origin story that gave explanation as to why The Batman doesn't just kill him, and instead wants to try and rehabilitate him. And he was right, the film is about a failing system, rich and poor divides, Inadequately supported mental illness, loneliness, lies, power, cult following, belongingness and being forgotten. It's not exclusively about violence or crazy. And both Batman and Joker were born of violence and connected in a myriad of possibilities. And it's the amount of plausible deniability at fan theories and the red herrings and questions surrounding the ending, that makes it such a clever movie. It could go anywhere within the canon of DC or exist on its own. It feels rather like a great one shot comic like The Killing Joke, it's through and through a comic book movie, except a reverent one, not content with converting and perverting the source material for maximum box office appeal and gains. Joaquin is obviously a powerhouse, he imbues his performance with such sadness and pathos that he's watchable in every scene and I'm made to feel so sorry for him and his conditions, even in the face of all of his deeds. And De Niro constantly reminds me how good he is whenever I forget. I was at a Q&A with Director Todd Phillips and he noted again that when Obama was elected he made three hangover films. When Trump was elected he made Joker. This is a film we need right now.",Sean S,5
06-Feb-20,"This movie didn't wow me at all. It's a classic tale of a person's descent into madness, the only difference here is that it's the ""Joker"" from the Batman movies.",Lesley E,3
06-Feb-20,"Joker is a must see movie for anyone, not just comic book fans. Don't be discouraged by people saying it's depressing. To me, it was indeed depressing but so uplifting by the end. I wish we could get a DC Comics Villains Anthology all in this style. Joker is my favorite movie of 2019.",Phil M,5
06-Feb-20,"Masterpiece! By analyzing the structure of the film (script, photography, direction, plot, performances), it is a practically perfect film!",Lucas R,5
06-Feb-20,this movie is a movie you must go see if you have any love of the art of film making,Nathan H,5
06-Feb-20,"I've watched this movie three times, this is the best DC movie since Dark Knight. Don't miss it.",MT C,5
06-Feb-20,"Absolutely amazing. Start to finish. Pheonix does a tremendous job in his adaptation as Joker. It's a shame the media tried to put this movie down, it's really amazing just how good this movie was. As for the ""Violence"", the media portrayed, this movie really isn't all that violent. And the score is one of my favorites ever, it's up there with the Star Wars scores.",Chance H,5
06-Feb-20,"Had huge expectations, and was really let down. Joker is many things, but pathetic isn't one of them, ever. Joaquin acts great, but this script isn't the Joker. Make he want to sit through the pain of Leto's Joker, and I thought Meth Joker was as bad as it gets. Really disappointed...",Jose M,1
06-Feb-20,"It's simple, it's great.",Pablo F,4.5
06-Feb-20,"Beautifully done. Cinematography, Pheonix, dialogue... all phenomenal.",Zoey D,5
06-Feb-20,"fue una gran experiencia, entre a las salas sin muchas espectativas y sali iluminado, fue una epifania, cambio mi forma de ver el mundo. Sere un psicopata :D",Gianmarco D,5
06-Feb-20,"Very well done in every aspect, acting, story, timing, editing, directing. This movie should have recieved a much higher rating from critics...",,4
06-Feb-20,Outstanding Phycological Thriller....deeply disturbing comic like in its interpretation and a flawless performance by Phoenix.,Daniel B,5
06-Feb-20,Vastly Overrated movie. The acting was good but a lot of things just don't add up. The joker seemed too dim witted and not intelligent enough. The timeline just seemed off. The movie was overall just dark and depressing. It also seemed to drag on too long. Worth the watch but it doesn't live up to the hype.,Anthony H,3
06-Feb-20,Phoenix picks up for whatever this movie lacks in story. The somber mood this movie is set to is also perfect for how distressing this film can be to watch.,,3.5
05-Feb-20,"I think this film is absolutely amazing due to its opening of mental illness, abuse and how society reacts towards it and how little there is for help. I enjoy this film so much and Joaquin did such an amazing job to feel his anger and all the emotions",,5
05-Feb-20,"This movie wasn't what I was expecting although it was still good. Joaquin Pheonix did an exceptional performance but the movie was just missing something after I watched it I wasn't like ""that was the greatest movie ever"" but it came through and delivered.",Gbenzo B,3.5
05-Feb-20,"The Joker is a good movie, but it's criminally over rated. Joaquin Phoenix gives an outstanding performance but other than that I feel like the movies delivers an OK story with some cool visuals and some pretty great moments, but it is by no means a masterpeice.",Tyler H,3.5
05-Feb-20,Idk why this movie gets so much hate,Carson A,5
05-Feb-20,"This movie is a tragic introduction to a Joker you almost feel sympathetic for, almost. A fantastic journey of a man who is continually abused driving an insane person to utter madness. Upsetting yet honest, this movie is a must see!",Josh M,5
05-Feb-20,"A modern masterpiece. Must see, dont listen to negative reviews this film is one of the best in the last couple years",sharp 3,5
05-Feb-20,Joaquin Phoenix is good and the score is absolutely fantastic.,M D,3
05-Feb-20,"I really enjoyed the cinematography. Please, don't attack me.",Lily20 M,2.5
05-Feb-20,I think to much publicity for a movie that was simply good.,Georgina P,3.5
05-Feb-20,Szem�lyes kedvencem . egyszeruen im�dom !,Istvn B,5
05-Feb-20,"This movie does absolutely no justice to the dark knight trilogy. But, Joaquin Phoenix had a great performance and it was moderately entertaining.",Surya I,2.5
05-Feb-20,This was just ok to me. The dialogue wasn't that great and this for sure wasn't even close to my favorite portrayal of the joker. I expected it to be darker. Just didn't live up to the hype.,Shawn T,3
05-Feb-20,This movie was everything I'd hoped and more. It was a collaborative success from every area of production and performance. One of my all time faves.,Lana B,5
05-Feb-20,"The fact that this movie disturbs and even angers some people is part of its power. It shows us the ugly aspects of society �urban society, specifically. and human society, generally. The fearful and the ruthless, the careful and the careless, the givers and takers, infused with the impulsive behavior triggered by too much pressure, overcrowding, external and internal noise, competition for resources and riches, and lack of compassion or accountability.",John H,4
04-Feb-20,A flawless performance from Phoenix carries a terrifyingly realistic origin story of comic books' greatest villain.,Kevin R,5
04-Feb-20,"Joker is a new take on the origin story of the Joker. It's part character study, part tragedy and in my opinion, is absolutely brilliant. It is a master class of cinematography, story telling and acting. It allows the viewer to have uncomfortable conflicting feelings, for example; empathy and repulsion, because it doesn't tell you what to think or how to feel. The film allows the viewer to formulate their own feelings and opinions, which is not only refreshing but desperately lacking in current films/television, which is something I feel audiences will really appreciate.",ivy m,5
04-Feb-20,joaquin phoenix actor has show more to the Joker and it tell about socitey we live in the world,in N,5
04-Feb-20,"My favorite film is The Joker. It is good, well interpreted by Joaquin Phoenix. We are never tired of this film. It is disturbing, anxiogenic and violent. This film makes you think a lot about psychology. The music is amazing.",Albert P,5
04-Feb-20,it had to be dark but why did it have to be so long?,Andy P,3.5
04-Feb-20,"Good performances, definitely not a feel good movie.",Seth S,3
04-Feb-20,"A absolute must see! Joker has now become my favourite movie, it had a great story and Joaquin Phoenix's acting was phenomenal! It was powerful and full of emotion.",Stathis T,5
04-Feb-20,Joaquin Phoenix was amazing! Very intense and powerful movie!,Goldie,5
04-Feb-20,"A bad knockoff of King Of Comedy. I'm surprised DeNiro would sign on for this. It's a travesty. The character development is poor and the film is very unrealistic, given that it's allegedly trying to put some realism into the Joker's story. I've seen much worse movies, but this was still definitely a waste of time. Don't watch.",Damian J,2
04-Feb-20,"So bad. If this was a documentary about a personal experience, I might have liked it a little more. Scifi & Comic book shouldn't be this depressing. That's what dramas are for.",Brian J,0.5
04-Feb-20,I thought it was a terrible movie!,Bill K,1
04-Feb-20,Oh my darkness. I don't think I've seen anything this sick and unnerving since Requem for a Dream. Oscar winning performance by Phoenix here.,Ryan D,3.5
04-Feb-20,A phenomenal depiction of the worst case scenario when a person with mental illness is left untreated.,Sawyer P,5
04-Feb-20,"At first I didn't think that I would like this movie because it looked like it was going to be creepy from the trailer. Surprisingly, it wasn't but it was very dark and depressing because the Joker went through a life of failure and disappointment. He believes the world is corrupt and that there are no good people in this world. That's someone with a lot of issues. Even though the movie was just a little better than I thought I don't really recommend seeing it.",Michael W,3
04-Feb-20,hella better than Jared Letto.,Mona L,5
04-Feb-20,"Joaquin is brilliantly psycho (and the movie gives plausible background for why)...and this origin story becomes painfully real. The choices are brilliant all the way down to the songs, De Niro as the talk show host and Conroy as the mom.",Jerod S,4.5
04-Feb-20,It was disturbing but I could not look away.,janet S,4
03-Feb-20,"I went with 2 stars for this movie I was gonna go with less then 2 stars. I wanted to see what the big deal of this movie was, I waited months to see this when I picked it up for a rental. I thought that J. Phoenix did a good job playing Joker but this movie was kinda dark and kinda grim a little to depressing for my taste. I have only watched it once and I don't think I would watch it again I might, but I didn't really understand or get this movie. I felt bad for him and I understand where the character was coming from and what he went through but idk about this movie.",Alexsis D,2
03-Feb-20,Amazing movie that makes you on the edge of your seat!. Brilliant performance by Joaquin Phoenix really makes this one of the best movies of 2019!,Johnathan J,5
03-Feb-20,"Gritty and quite realistic for a fantasy genre. Brilliant acting of a character descending into a personal hell,but somehow raising above it. We seem to be living in an era of anti establishment heros and this film seems to be a defining of an era movie.",Vince R,4
03-Feb-20,"Is a good comic book movie a good movie? In other words, is the fact that it is better than the averarage super hero franchise movie enough to make it a good movie overall? I don't think so.",Hugo C,2.5
03-Feb-20,"Soundtrack and Joaquin Phoenix performance were great, but in terms of script, was ok,",Caroline d,3
03-Feb-20,A dark commentary on what happens when mental illness goes unchecked and uncared for. You forget that this movie is about the Joker until the end.,Ryan K,5
03-Feb-20,"It manages to put together a lot of cinematography pieces in the right place. Storytelling is great, a little bit low at a times though. Joaquin Phoenix is phenomenal.",Alberto H,5
03-Feb-20,This was a really great movie. It really shows the struggles mentally ill people have to go thru.,Kay P,5
03-Feb-20,"Movie with many real life messages like dont abuse children, the repercussion in their adult life are huge.",Adrian M,4
03-Feb-20,Great movie. Phoenix's acting was haunting. The movie was suspenseful and was a must watch.,Lauren R,5
03-Feb-20,"Joaquin Phoenix is my new favorite Joker. Everything about this movie is expertly crafted, and film buffs will likely want to watch multiple times. I'm not going to ruin it by saying too much about it, so just press play and enjoy.",David J,5
03-Feb-20,"In terms of directing, it's a spot on. Todd Phillips smoothly guides Joaquin Phenix into an incredible believable madness and takes you along the ride. All supporting actors, no matter how small the role, did also a great job. I loved to see Robert De Niro back into acting, not just making a ""Robert De Niro impression"". Now let's talk cinematography, well, I honestly think that Lawrence Sher deserves an Oscar, or at least some type of recognition. He just creates the perfect atmosphere: the choice of lens, the color spectrum used, the angles, etc. I also want to mention that the whole team has done a great job to create a timeless cinematic experience. I think there must be very few teams (acting, directing, producing, sound engineering, etc) in the industry, not just now, who could get together and give us such a master piece. On paper it might seem a long movie, but just after the first very few minutes you're hooked until the final credits are on the screen. Go and treat yourself for a real cinematic experience.",Fernando S,5
03-Feb-20,Brilliant in all areas.,Sean E,5
02-Feb-20,"Tke most interesting and intense movie ever had the dark pleasure and fun ever of any of the 3( + movies I've watched it (7 times so) Masterpiece is such an understatent. I'll will be getting my 4k blu-ray copy next week from mow making it even more amazing. Eternal Sunshine on Spotless Mind used to be my favorite, but this gem suprases it in so many way. The story, the amzing acting and the brilliant score makes it a must see for anyone with even a mocicum in imrest in films. Whether you're mentally ill, know someone who is or just feel disillusioned from society as a whole, this movie, of you have a modicum of empathy towards fellow humans who struggle with life, this movie is bound to make you ctu and feel despair and hope. The c�srity and confidence Arthur transforms himself into by the end is mesmerized mesrinsing and it worthwhile pursuing it your life is im that you shitter like my life is at the moment .",Joachim M,5
02-Feb-20,"A film with a perfect performance by Joaquin Phoenix, with a nice cinematography and a great soundtrack.",Juan A,4
02-Feb-20,"This is a psychological roller coaster that seamlessly mixes hallucinations and reality. A perfect depiction of human tragedy in a disturbing, heart-wrenching way. One of the many multiple choices for Joker's origin.",Jack C,5
02-Feb-20,"Uma contru��o de personagem incr�vel e um design de produ��o muito bem feito, um dos melhores filmes de 2019 Minha Nota: 8",Vincius d,4
02-Feb-20,Wild ride. Hard to watch at times but excellently made and a performance no one should miss.,,4
02-Feb-20,Masterpiece Drama Slow Pace Burning Film Every Scene was Excellent,Chandu R,4.5
02-Feb-20,It's perfect. I've already seen four times and I can't stop.,Victor N,5
02-Feb-20,Everyone will love this I PROMISE to everyone!,Adam C,4.5
